model,accuracy,value_EO_SEX,EO_SEX,value_EO_RACE,EO_RACE,value_EO_MAR,EO_MAR,dataset
XGBoost,0.7767695099818511,1.0_2.0,0.08485981308411206,3.0_2.0,1.0,1.0_2.0,0.03934169278996866,ID_0
LogisticRegression,0.7724687144482366,1.0_2.0,0.02145896656534954,3.0_4.0,0.6,1.0_2.0,0.12055555555555558,MS_1
XGBoost,0.7747440273037542,2.0_1.0,0.13345808383233537,3.0_4.0,0.8,1.0_2.0,0.14904761904761904,MS_1
LogisticRegression,0.7070707070707071,1.0_2.0,0.11282051282051275,1.0_2.0,0.49514563106796117,1.0_2.0,0.19047619047619052,ND_0
XGBoost,0.7306397306397306,1.0_2.0,0.09743589743589742,4.0_2.0,1.0,1.0_2.0,0.20833333333333337,ND_0
LogisticRegression,0.7408993576017131,2.0_1.0,0.012615664040448615,3.0_4.0,0.47368421052631576,1.0_2.0,0.1401559893602633,IN_2
XGBoost,0.7862955032119915,1.0_2.0,0.05555768365206898,3.0_4.0,0.7894736842105263,1.0_2.0,0.15781073892069797,IN_2
LogisticRegression,0.7567482736974263,2.0_1.0,0.004414813253223682,3.0_4.0,0.35561497326203206,1.0_2.0,0.2088590956887487,NJ_1
XGBoost,0.7900188323917138,1.0_2.0,0.06173864894795128,3.0_5.0,0.20542585104995437,1.0_2.0,0.1822214654430743,NJ_1
LogisticRegression,0.7537037037037037,1.0_2.0,0.1918767507002801,3.0_5.0,0.5,1.0_2.0,0.09334781881998999,WV_2
XGBoost,0.7703703703703704,1.0_2.0,0.08280487120489366,3.0_5.0,0.6666666666666667,1.0_2.0,0.1322207958921695,WV_2
LogisticRegression,0.7561643835616438,1.0_2.0,0.057719788754271514,1.0_3.0,0.34615384615384615,1.0_2.0,0.10659439927732611,MT_0
XGBoost,0.7780821917808219,1.0_2.0,0.04193093727977448,1.0_3.0,0.5192307692307693,2.0_1.0,0.05555555555555558,MT_0
LogisticRegression,0.7812074443940081,2.0_1.0,0.06785660866530388,4.0_5.0,0.8904109589041096,1.0_2.0,0.18570675105485235,MD_2
XGBoost,0.8161597821152973,1.0_2.0,0.01817690805600569,4.0_5.0,0.9178082191780822,1.0_2.0,0.1695938818565401,MD_2
LogisticRegression,0.7720090293453724,2.0_1.0,0.03840669134786781,2.0_4.0,0.5131034482758621,1.0_2.0,0.06689128481581308,AZ_2
XGBoost,0.7995485327313769,1.0_2.0,0.03257141250562301,1.0_4.0,0.27945701357466063,1.0_2.0,0.06768493560946387,AZ_2
LogisticRegression,0.7397260273972602,2.0_1.0,0.1291866028708134,1.0_2.0,0.3877551020408163,1.0_2.0,0.357487922705314,MT_2
XGBoost,0.7726027397260274,1.0_2.0,0.007974481658692079,4.0_2.0,0.6,2.0_1.0,0.12130971551261405,MT_2
LogisticRegression,0.7738056548586285,2.0_1.0,0.08393304837688464,3.0_4.0,0.24561403508771928,1.0_2.0,0.17657518288740334,VA_2
XGBoost,0.8063048423789405,1.0_2.0,0.01246587828200485,3.0_4.0,0.2584070796460177,1.0_2.0,0.15397542976535905,VA_2
LogisticRegression,0.7738853503184714,2.0_1.0,0.17357656163626312,1.0_5.0,0.6666666666666666,1.0_2.0,0.03443526170798897,DE_2
XGBoost,0.7929936305732485,1.0_2.0,0.015542328042328024,1.0_5.0,0.7745098039215687,1.0_2.0,0.08687381103360814,DE_2
LogisticRegression,0.7568807339449541,1.0_2.0,0.02683363148479423,4.0_5.0,0.4848484848484848,1.0_2.0,0.13830854086578642,WI_2
XGBoost,0.7802752293577981,1.0_2.0,0.06380547254089143,2.0_5.0,0.6363636363636364,1.0_2.0,0.10638475681096449,WI_2
LogisticRegression,0.7580645161290323,2.0_1.0,0.06048632218844985,4.0_2.0,1.0,1.0_2.0,0.12968874700718278,KS_2
XGBoost,0.7713472485768501,1.0_2.0,0.08966565349544076,4.0_5.0,0.6,1.0_2.0,0.11656310568920307,KS_2
LogisticRegression,0.72782874617737,2.0_1.0,0.0735294117647059,3.0_2.0,0.5,1.0_2.0,0.1127272727272727,SD_1
XGBoost,0.7400611620795107,1.0_2.0,0.16176470588235292,4.0_2.0,0.5,1.0_2.0,0.0982905982905983,SD_1
LogisticRegression,0.7718141870684243,2.0_1.0,0.056134373763355755,4.0_5.0,0.42028985507246375,1.0_2.0,0.1765977326522985,NJ_2
XGBoost,0.7947269303201506,1.0_2.0,0.04144063998145764,4.0_2.0,0.4107142857142857,1.0_2.0,0.14774822474149743,NJ_2
LogisticRegression,0.7771797631862217,2.0_1.0,0.051212938005390785,4.0_5.0,1.0,1.0_2.0,0.07308541973490423,AR_0
XGBoost,0.7933261571582346,2.0_1.0,0.044647176722648396,4.0_3.0,0.8,1.0_2.0,0.07492636229749627,AR_0
LogisticRegression,0.7769028871391076,2.0_1.0,0.10793650793650789,3.0_5.0,0.8,1.0_2.0,0.14037433155080212,RI_2
XGBoost,0.7926509186351706,2.0_1.0,0.14603174603174596,4.0_2.0,0.6,1.0_2.0,0.1776165011459129,RI_2
LogisticRegression,0.7561153174140943,2.0_1.0,0.04971572007500147,1.0_4.0,0.2846173699832237,1.0_2.0,0.13670949806660954,NY_1
XGBoost,0.7983401281304601,1.0_2.0,0.025833582909054603,1.0_4.0,0.19596076913150084,1.0_2.0,0.11272832875144603,NY_1
LogisticRegression,0.7590132827324478,2.0_1.0,0.021965097428398875,3.0_4.0,0.5,1.0_2.0,0.07901879327398616,KS_0
XGBoost,0.7703984819734345,1.0_2.0,0.07830843677677257,3.0_4.0,0.8333333333333334,1.0_2.0,0.1800766283524905,KS_0
LogisticRegression,0.7694053563322741,2.0_1.0,0.052025164345797736,4.0_5.0,0.36363636363636365,1.0_2.0,0.1705597947638469,MD_0
XGBoost,0.8043576940535633,1.0_2.0,0.03859721735808208,4.0_5.0,0.36363636363636365,1.0_2.0,0.14185962373371927,MD_0
LogisticRegression,0.7694907072169925,2.0_1.0,0.030912835629121505,2.0_4.0,0.6333333333333333,1.0_2.0,0.11523803371875196,OH_0
XGBoost,0.7986965966690803,1.0_2.0,0.031063998639532908,3.0_4.0,0.7096774193548387,1.0_2.0,0.13892298085825627,OH_0
LogisticRegression,0.7672699183403222,2.0_1.0,0.03304953915986511,3.0_5.0,0.33440502586844056,1.0_2.0,0.14337236605134374,TX_1
XGBoost,0.8012580004414037,1.0_2.0,0.04126364976183916,3.0_5.0,0.3296747967479674,1.0_2.0,0.10377968100928252,TX_1
LogisticRegression,0.7865019850022056,2.0_1.0,0.11267321132791985,1.0_4.0,0.5612244897959183,1.0_2.0,0.09986871717929485,TN_2
XGBoost,0.8125275694750772,2.0_1.0,0.07479901426089774,5.0_4.0,0.6666666666666666,1.0_2.0,0.09710240060015007,TN_2
LogisticRegression,0.7762361057876581,2.0_1.0,0.03537646175400677,3.0_5.0,0.2804077439874714,1.0_2.0,0.11163799256688572,CA_2
XGBoost,0.8200076657723265,1.0_2.0,0.02074005300854853,1.0_5.0,0.200047727389827,1.0_2.0,0.10564529910022046,CA_2
LogisticRegression,0.751937984496124,2.0_1.0,0.07735788113695091,1.0_4.0,0.6666666666666666,1.0_2.0,0.12142857142857133,HI_0
XGBoost,0.7655038759689923,1.0_2.0,0.08750000000000002,2.0_4.0,1.0,1.0_2.0,0.11062661498708011,HI_0
LogisticRegression,0.7719337511190689,2.0_1.0,0.07382999215238639,3.0_4.0,0.7916666666666666,1.0_2.0,0.11473872573243316,IL_1
XGBoost,0.8102059086839749,1.0_2.0,0.04710957722174289,3.0_4.0,0.8541666666666666,1.0_2.0,0.10988295979241629,IL_1
