model,accuracy,EO_SEX,EO_RACE,EO_MAR,dataset
XGBoost,0.8068049405732929,0.07370437750551417,0.007989587505006002,0.12609953519044426,TX_1
LogisticRegression,0.7845303867403315,0.01788617886178863,0.06378198159020076,0.10150167950997828,OR_1
XGBoost,0.7720994475138122,0.019970414201183395,0.02750597956077408,0.10932622011460186,OR_1
LogisticRegression,0.7565982404692082,0.029513888888888895,0.025510204081632668,0.13238095238095232,LA_4
XGBoost,0.7727272727272727,0.14942528735632177,0.12937361324458097,0.12380952380952381,LA_4
LogisticRegression,0.7810945273631841,0.014693052452388555,0.08212199429425349,0.12432007479177287,VA_3
XGBoost,0.8130774697938877,0.13036053867349717,0.12025087171127113,0.10988486737484893,VA_3
LogisticRegression,0.7850953206239168,0.02478632478632481,0.09523809523809523,0.037505752416014726,OK_3
XGBoost,0.804159445407279,0.07948717948717943,0.1428571428571429,0.08921772239529248,OK_3
LogisticRegression,0.7649253731343284,0.023734858267232373,0.10845588235294118,0.17255892255892258,TN_2
XGBoost,0.792910447761194,0.04787964500194716,0.1654411764705882,0.12037037037037035,TN_2
LogisticRegression,0.7567049808429118,0.04927414543606523,0.17081164449585506,0.16496598639455784,CO_0
XGBoost,0.7816091954022989,0.09298926795218568,0.16464237516869096,0.1191893424036281,CO_0
LogisticRegression,0.7846481876332623,0.06575157933853586,0.10756024970963995,0.1591037558095717,VA_1
XGBoost,0.8095238095238095,0.055030441656295115,0.06563951800232293,0.15123728174852413,VA_1
LogisticRegression,0.7906976744186046,0.09580498866213161,0.3291517323775388,0.19448903156768327,HI_0
XGBoost,0.7829457364341085,0.19387755102040816,0.3572281959378734,0.105606258148631,HI_0
LogisticRegression,0.6462585034013606,0.32532051282051283,0.09999999999999998,0.166304347826087,ND_4
XGBoost,0.6938775510204082,0.3173076923076923,0.12121212121212122,0.12380952380952381,ND_4
LogisticRegression,0.7928197456993269,0.04860519146233433,0.11767609873570138,0.1785266457680251,MA_4
XGBoost,0.7950635751682872,0.012585532746823058,0.12965278445705486,0.17612330198537096,MA_4
LogisticRegression,0.7716150081566069,0.0366049408963347,0.05546627675202942,0.1530454647033993,TX_3
XGBoost,0.8028431601025402,0.08629028828982055,0.04112380939243665,0.14342611675315964,TX_3
LogisticRegression,0.7555555555555555,0.125,0.08444444444444443,0.23863636363636365,NE_5
XGBoost,0.7555555555555555,0.0971362229102167,0.22756410256410264,0.11753246753246753,NE_5
LogisticRegression,0.7712121212121212,0.03280138111078357,0.1527728085867621,0.2372021576822777,CT_2
XGBoost,0.7803030303030303,0.09154069645037688,0.13354203935599282,0.2108027006751688,CT_2
LogisticRegression,0.7527777777777778,0.07727272727272727,0.18478260869565216,0.04619565217391303,NE_3
XGBoost,0.7222222222222222,0.06291482300884957,0.2630434782608696,0.1368645818983331,NE_3
LogisticRegression,0.781651376146789,0.0832569227947918,0.15243902439024393,0.23475783475783474,UT_5
XGBoost,0.7944954128440367,0.12460373370905248,0.13337273443656422,0.13618233618233622,UT_5
