model,accuracy,value_DP_SEX,DP_SEX,value_DP_RACE,DP_RACE,value_DP_MAR,DP_MAR,dataset
XGBoost,0.7938691769249336,1.0_2.0,0.11995081583808437,3.0_5.0,0.24863701578192252,1.0_2.0,0.2726943681678401,OH_0
LogisticRegression,0.7580258744609487,1.0_2.0,0.05955728663112436,1.0_4.0,0.3185792349726776,1.0_2.0,0.2636472341767075,CO_1
XGBoost,0.7982750359367513,1.0_2.0,0.1388387061130908,3.0_4.0,0.267910447761194,1.0_2.0,0.2531754781638657,CO_1
LogisticRegression,0.7546717776712986,1.0_2.0,0.06274228284278532,1.0_5.0,0.19110856325405756,1.0_2.0,0.23591861027415095,CO_2
XGBoost,0.7930043124101581,1.0_2.0,0.10267822629631673,1.0_5.0,0.18852622831837929,1.0_2.0,0.23804820890525613,CO_2
LogisticRegression,0.7563636363636363,1.0_2.0,0.052450513390494335,1.0_4.0,0.29338842975206614,1.0_2.0,0.2016466913818496,LA_1
XGBoost,0.7752727272727272,1.0_2.0,0.14178045940510214,1.0_4.0,0.3347107438016529,1.0_2.0,0.22977079207082765,LA_1
LogisticRegression,0.7596899224806202,1.0_2.0,0.05339105339105338,2.0_4.0,0.45,1.0_2.0,0.22577707625060708,HI_0
XGBoost,0.7848837209302325,1.0_2.0,0.1031746031746032,1.0_4.0,0.4452054794520548,1.0_2.0,0.19560466245750363,HI_0
LogisticRegression,0.7248062015503876,2.0_1.0,0.037413533834586454,1.0_4.0,0.48175182481751827,1.0_2.0,0.22948094329166924,HI_1
XGBoost,0.7364341085271318,1.0_2.0,0.038015037593984946,2.0_4.0,0.5,1.0_2.0,0.21839788190382364,HI_1
LogisticRegression,0.7325581395348837,1.0_2.0,0.03732303732303732,2.0_5.0,0.28021978021978017,1.0_2.0,0.23283880041740393,HI_2
