model,accuracy,DP_SEX,DP_RACE,DP_MAR,dataset
LogisticRegression,0.7786561264822134,0.1492753623188406,0.0438888888888888,0.114083983649201,KS_4
XGBoost,0.7806324110671937,0.131159420289855,0.0301587301587301,0.121887774061687,KS_4
LogisticRegression,0.7755905511811023,0.1852364185110664,0.0434523809523809,0.2620887337986042,NH_0
XGBoost,0.7755905511811023,0.2058601609657947,0.0934523809523809,0.3344965104685942,NH_0
LogisticRegression,0.7598425196850394,0.1189405297351324,0.060560933234053,0.2513082155939298,NH_1
XGBoost,0.7480314960629921,0.2358820589705147,0.0732191610821543,0.2539246467817896,NH_1
LogisticRegression,0.7637795275590551,0.186987801063497,0.0845834663262048,0.3096491228070175,NH_4
XGBoost,0.7637795275590551,0.2301532686893963,0.0526651771465049,0.2092731829573934,NH_4
LogisticRegression,0.7874015748031497,0.148175912043978,0.07024075452966,0.2141727301486871,NH_5
XGBoost,0.7913385826771654,0.2844827586206896,0.0183668404070488,0.2786459981018664,NH_5
LogisticRegression,0.790745501285347,0.0984944353546715,0.081199460916442,0.1827076825329592,OH_0
XGBoost,0.8190231362467867,0.1744874220267921,0.1123315363881401,0.2234552867051411,OH_0
LogisticRegression,0.7789203084832905,0.0955974318352372,0.076752726151431,0.1957926669827144,OH_1
XGBoost,0.7964010282776349,0.1997543438800839,0.1368518674254104,0.2362992221397852,OH_1
LogisticRegression,0.8102827763496144,0.1396057952922869,0.0503081488244692,0.196224527854067,OH_2
XGBoost,0.8179948586118252,0.1883619620886308,0.0487103401049988,0.2123469975926491,OH_2
LogisticRegression,0.7922879177377892,0.1165220600224848,0.1110678466076696,0.227304625199362,OH_3
XGBoost,0.803598971722365,0.1945806836418561,0.1300648967551622,0.2663902179691653,OH_3
LogisticRegression,0.7732647814910025,0.0992184921849218,0.014858654199863,0.161298509040922,OH_4
XGBoost,0.8149100257069408,0.181016453021673,0.0657324324701872,0.2355028021571322,OH_4
LogisticRegression,0.7576628352490421,0.0570931636650997,0.1893663314918116,0.2192271274707066,CO_0
XGBoost,0.7854406130268199,0.1279601776937478,0.1645729430620595,0.2360930287608,CO_0
LogisticRegression,0.7605363984674329,0.0460104619465114,0.1517180925666199,0.2392528600070763,CO_3
XGBoost,0.7758620689655172,0.0952994916378103,0.1582398316970547,0.2615874513503951,CO_3
LogisticRegression,0.7390029325513197,0.0417137387134886,0.124723184674232,0.1378299120234604,LA_2
XGBoost,0.7595307917888563,0.1051510473710081,0.1682083558494125,0.2727272727272727,LA_2
LogisticRegression,0.7551319648093842,0.1249827752514813,0.1086488342332781,0.2011359724612736,LA_4
XGBoost,0.7844574780058651,0.2481569519085021,0.1920680004577754,0.2204302925989673,LA_4
LogisticRegression,0.7829457364341085,0.0440584239947105,0.1594982078853046,0.2649437519002736,HI_0
XGBoost,0.7790697674418605,0.1144437098034501,0.1671146953405018,0.2456673761021587,HI_0
LogisticRegression,0.7521367521367521,0.0502009499451954,0.1232142857142857,0.2441003498846125,ME_1
XGBoost,0.8034188034188035,0.1212276214833759,0.3080357142857143,0.187821037742872,ME_1
